	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2848772350226811	VENTX
ENSG00000131080.14	0.25397059635833297	EDA2R
ENSG00000252581.1	0.24272368320193657	RNU6-1098P
ENSG00000208005.1	-0.21896801203319596	MIR503
ENSG00000267544.1	-0.20859788737892265	HIKESHIP2
ENSG00000255836.1	-0.19479399397658848	Gene symbol not found
ENSG00000197376.2	0.19474230008514876	Gene symbol not found
ENSG00000233429.9	0.18872508552283804	HOTAIRM1
ENSG00000088836.12	0.18294808731335319	SLC4A11
ENSG00000187013.4	0.18056945999276397	LINC02875
ENSG00000259124.1	-0.1794245715601346	Gene symbol not found
ENSG00000207186.1	0.17381610811546674	RNA5SP122
ENSG00000163071.10	0.17001438464629073	SPATA18
ENSG00000259792.1	0.169642407311975	Gene symbol not found
ENSG00000280710.2	-0.16317587260525296	
ENSG00000267799.1	-0.16286894452434802	MAN1A2P1
ENSG00000267773.1	-0.16263226320333482	Gene symbol not found
ENSG00000278318.4	-0.15929379072959213	ZNF229
ENSG00000248476.1	-0.15845721198531076	BACH1-IT1
ENSG00000228526.6	0.15729174193965373	MIR34AHG
ENSG00000173908.8	-0.15514394282927224	KRT28
ENSG00000230453.9	0.1521059056384499	ANKRD18B
ENSG00000202517.1	-0.150781299240433	Gene symbol not found
ENSG00000274904.1	-0.14793795097379317	Gene symbol not found
ENSG00000168418.7	0.14660409722043719	KCNG4
ENSG00000172426.15	-0.14651888977932778	RSPH9
ENSG00000248646.1	-0.14592251905755277	
ENSG00000255794.7	0.1445007758502779	RMST
ENSG00000230931.2	-0.14400156063586925	GXYLT1P1
ENSG00000214121.4	-0.14367808372375673	PRDX1P1
ENSG00000254294.1	-0.14255071810325629	IMPDH1P6
ENSG00000283377.1	-0.1406327899567455	Gene symbol not found
ENSG00000259742.1	-0.13890968160885692	Gene symbol not found
ENSG00000273687.1	0.13873093496999708	Gene symbol not found
ENSG00000244308.2	-0.13809353647790112	RN7SL762P
ENSG00000277697.1	-0.13792842284387702	
ENSG00000196862.9	-0.1372340122582828	RGPD4
ENSG00000253642.5	0.13687773201335632	Gene symbol not found
ENSG00000276556.1	-0.13684500784535888	Gene symbol not found
ENSG00000258550.1	-0.13668667033147422	OR7E106P
ENSG00000162722.8	-0.13633370711860776	TRIM58
ENSG00000225075.1	0.13608266640573943	Gene symbol not found
ENSG00000207010.1	-0.1321451393195808	RNU6-318P
ENSG00000164399.4	-0.13213040976622387	IL3
ENSG00000172680.1	-0.13020741213562698	MOS
ENSG00000224566.2	-0.12763523665914606	CIAO2AP2
ENSG00000178343.4	0.12610713875192597	SHISA3
ENSG00000134982.16	-0.12552115125189756	APC
ENSG00000120289.11	-0.1254963497239168	MAGEB4
ENSG00000214415.3	-0.12521351190927676	GNAT3
