	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.39196816005562646	PTCHD4
ENSG00000105707.13	0.36745648814591214	HPN
ENSG00000272721.5	-0.34603690560910905	EIF2B5-DT
ENSG00000268758.7	0.3420394810620761	ADGRE4P
ENSG00000276656.1	-0.33557644287112864	MIR6083
ENSG00000198099.8	0.33071770373427106	ADH4
ENSG00000275532.1	-0.32865054283141987	Gene symbol not found
ENSG00000253439.1	0.3211117616192635	CDC42P5
ENSG00000267225.1	-0.31753214236401317	WDR7-OT1
ENSG00000162753.11	-0.31509949902918044	SLC9C2
ENSG00000253549.5	-0.31001779402611174	CA3-AS1
ENSG00000236345.1	0.30975233742471936	SCAT8
ENSG00000270947.1	-0.30267234081125505	Gene symbol not found
ENSG00000229124.6	0.301851368789522	VIM-AS1
ENSG00000258992.6	-0.29947968328561425	TSPY1
ENSG00000176219.2	-0.29472788876475553	OR11H6
ENSG00000250337.5	0.29051507146107525	PURPL
ENSG00000273870.1	-0.2846717127948992	Gene symbol not found
ENSG00000149403.12	0.28464926045347994	GRIK4
ENSG00000131080.14	0.28209043315040416	EDA2R
ENSG00000145107.15	-0.27674645087040173	TM4SF19
ENSG00000272872.1	0.2747943183609398	
ENSG00000282692.1	0.2728641093842369	Gene symbol not found
ENSG00000229891.1	0.2646534913799703	LINC01315
ENSG00000263276.1	0.26220066713369233	Gene symbol not found
ENSG00000093072.15	-0.25774166780873475	ADA2
ENSG00000146070.16	-0.2561247069555254	PLA2G7
ENSG00000273143.1	0.2512719612911609	DUSP5-DT
ENSG00000105711.11	0.2491565783136389	SCN1B
ENSG00000271734.1	0.24397374360404478	
ENSG00000240160.3	0.24184236232821732	RN7SL263P
ENSG00000178343.4	0.2412336677513461	SHISA3
ENSG00000241346.1	0.24093828863938394	SNRPCP11
ENSG00000057657.15	0.2383661778778981	PRDM1
ENSG00000124762.13	0.2375048921112645	CDKN1A
ENSG00000076944.15	-0.23564114470630912	STXBP2
ENSG00000232732.9	0.23560764092534356	Gene symbol not found
ENSG00000260144.1	0.23469039908368247	Gene symbol not found
ENSG00000184895.7	-0.2329471618573495	SRY
ENSG00000232530.1	0.23259098327874117	LIF-AS1
ENSG00000170231.15	0.22955523072065065	FABP6
ENSG00000271600.1	-0.22714458239788313	Gene symbol not found
ENSG00000178538.9	-0.22587706084605602	CA8
ENSG00000254281.1	-0.22523519265679623	
ENSG00000253894.1	-0.22369927960199595	Gene symbol not found
ENSG00000222714.1	0.22148834134489026	RN7SKP38
ENSG00000262362.1	0.21986317855039333	Gene symbol not found
ENSG00000279846.1	0.21959848552530198	Gene symbol not found
ENSG00000106025.8	0.21907271066707376	TSPAN12
