	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.28515131423684703	VENTX
ENSG00000131080.14	0.2509110634099925	EDA2R
ENSG00000252581.1	0.2487660094967132	RNU6-1098P
ENSG00000208005.1	-0.21773624214731135	MIR503
ENSG00000267544.1	-0.21072565039701469	HIKESHIP2
ENSG00000255836.1	-0.20057141608704365	Gene symbol not found
ENSG00000197376.2	0.1957125536903108	Gene symbol not found
ENSG00000233429.9	0.18983836455048025	HOTAIRM1
ENSG00000088836.12	0.17956697625812953	SLC4A11
ENSG00000187013.4	0.1786347043500553	LINC02875
ENSG00000259124.1	-0.17414515393566057	Gene symbol not found
ENSG00000207186.1	0.17306979680047482	RNA5SP122
ENSG00000267773.1	-0.1688866732009893	Gene symbol not found
ENSG00000163071.10	0.16818543321416793	SPATA18
ENSG00000259792.1	0.16521022224432438	Gene symbol not found
ENSG00000280710.2	-0.16393411529953233	
ENSG00000267799.1	-0.1633328974866613	MAN1A2P1
ENSG00000278318.4	-0.15691084351911602	ZNF229
ENSG00000228526.6	0.15668975085048045	MIR34AHG
ENSG00000248476.1	-0.15411410298249414	BACH1-IT1
ENSG00000202517.1	-0.1527327329628915	Gene symbol not found
ENSG00000230453.9	0.1519993336139656	ANKRD18B
ENSG00000173908.8	-0.15153334181177522	KRT28
ENSG00000172426.15	-0.14812429156805904	RSPH9
ENSG00000248646.1	-0.14551622157209415	
ENSG00000254294.1	-0.1428099187145217	IMPDH1P6
ENSG00000255794.7	0.14248186128536336	RMST
ENSG00000214121.4	-0.14246604737648663	PRDX1P1
ENSG00000274904.1	-0.1417813611798859	Gene symbol not found
ENSG00000168418.7	0.14159850240083457	KCNG4
ENSG00000273687.1	0.1410582437302434	Gene symbol not found
ENSG00000259742.1	-0.14065771641427482	Gene symbol not found
ENSG00000283377.1	-0.14063467045403508	Gene symbol not found
ENSG00000253642.5	0.13970315417331378	Gene symbol not found
ENSG00000258550.1	-0.13969312096780956	OR7E106P
ENSG00000230931.2	-0.13886307024741246	GXYLT1P1
ENSG00000277697.1	-0.1388577830505625	
ENSG00000225075.1	0.1379607881812836	Gene symbol not found
ENSG00000162722.8	-0.13764306889280953	TRIM58
ENSG00000196862.9	-0.13703433054957237	RGPD4
ENSG00000207010.1	-0.1359339592399981	RNU6-318P
ENSG00000164399.4	-0.13567750573256876	IL3
ENSG00000276556.1	-0.1336683194193008	Gene symbol not found
ENSG00000244308.2	-0.13292358243169836	RN7SL762P
ENSG00000236380.5	-0.13209808828764522	VENTXP7
ENSG00000172680.1	-0.13034253299625448	MOS
ENSG00000120289.11	-0.1272202088315011	MAGEB4
ENSG00000224805.2	0.12592976978245873	LINC00853
ENSG00000214415.3	-0.12532869275571382	GNAT3
ENSG00000178343.4	0.12528146689844372	SHISA3
