	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2851447236386458	VENTX
ENSG00000131080.14	0.2543748205510097	EDA2R
ENSG00000252581.1	0.2404270284495306	RNU6-1098P
ENSG00000208005.1	-0.21897618338392177	MIR503
ENSG00000267544.1	-0.20942199911858933	HIKESHIP2
ENSG00000255836.1	-0.19395820316016782	Gene symbol not found
ENSG00000197376.2	0.19035531708742595	Gene symbol not found
ENSG00000233429.9	0.18978320303111412	HOTAIRM1
ENSG00000187013.4	0.17928954250454776	LINC02875
ENSG00000088836.12	0.17886127072216998	SLC4A11
ENSG00000259124.1	-0.1771872419674924	Gene symbol not found
ENSG00000207186.1	0.1750725688271524	RNA5SP122
ENSG00000163071.10	0.17185951403923985	SPATA18
ENSG00000259792.1	0.17160607115198392	Gene symbol not found
ENSG00000267773.1	-0.1664198489681748	Gene symbol not found
ENSG00000267799.1	-0.16301428051666675	MAN1A2P1
ENSG00000280710.2	-0.1628665345395646	
ENSG00000228526.6	0.15857754315075623	MIR34AHG
ENSG00000248476.1	-0.15794340746541596	BACH1-IT1
ENSG00000278318.4	-0.15708090736866576	ZNF229
ENSG00000230453.9	0.15491356271580162	ANKRD18B
ENSG00000173908.8	-0.15253634280532202	KRT28
ENSG00000202517.1	-0.15173131356835926	Gene symbol not found
ENSG00000168418.7	0.1494538764461464	KCNG4
ENSG00000254294.1	-0.1481313889697802	IMPDH1P6
ENSG00000172426.15	-0.14723962583442304	RSPH9
ENSG00000230931.2	-0.14544850989735605	GXYLT1P1
ENSG00000274904.1	-0.14495508890127337	Gene symbol not found
ENSG00000214121.4	-0.1444666610907523	PRDX1P1
ENSG00000255794.7	0.1432502199127325	RMST
ENSG00000259742.1	-0.14301946504857407	Gene symbol not found
ENSG00000276556.1	-0.1414336199919188	Gene symbol not found
ENSG00000283377.1	-0.14050406236695384	Gene symbol not found
ENSG00000196862.9	-0.13916528344886855	RGPD4
ENSG00000258550.1	-0.1390255222943114	OR7E106P
ENSG00000253642.5	0.13852025235140158	Gene symbol not found
ENSG00000225075.1	0.13733464400253725	Gene symbol not found
ENSG00000248646.1	-0.13718275502135174	
ENSG00000273687.1	0.13628841779888276	Gene symbol not found
ENSG00000244308.2	-0.1359887232003779	RN7SL762P
ENSG00000277697.1	-0.1349893880556499	
ENSG00000207010.1	-0.13402656715377936	RNU6-318P
ENSG00000162722.8	-0.134715903627825	TRIM58
ENSG00000236380.5	-0.1317878962542469	VENTXP7
ENSG00000164399.4	-0.1311424954304814	IL3
ENSG00000224566.2	-0.12838524513291266	CIAO2AP2
ENSG00000178343.4	0.12834092265322627	SHISA3
ENSG00000172680.1	-0.128143495991394	MOS
ENSG00000214415.3	-0.12759084290401967	GNAT3
ENSG00000134982.16	-0.12522799471481974	APC
