	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.28543831710083106	VENTX
ENSG00000131080.14	0.2545612943383121	EDA2R
ENSG00000252581.1	0.24663364297465337	RNU6-1098P
ENSG00000208005.1	-0.22287604299152264	MIR503
ENSG00000267544.1	-0.21098759986681886	HIKESHIP2
ENSG00000255836.1	-0.2023567181017566	Gene symbol not found
ENSG00000233429.9	0.19255384118826227	HOTAIRM1
ENSG00000197376.2	0.18847852861344636	Gene symbol not found
ENSG00000088836.12	0.18241238140867944	SLC4A11
ENSG00000259124.1	-0.18141590609926653	Gene symbol not found
ENSG00000187013.4	0.18086475479743513	LINC02875
ENSG00000207186.1	0.1776567186589297	RNA5SP122
ENSG00000259792.1	0.17200304963042018	Gene symbol not found
ENSG00000163071.10	0.1682286091476044	SPATA18
ENSG00000267773.1	-0.16634849623926956	Gene symbol not found
ENSG00000280710.2	-0.16510396366662466	
ENSG00000267799.1	-0.16407768884016866	MAN1A2P1
ENSG00000228526.6	0.15870638082400226	MIR34AHG
ENSG00000248476.1	-0.158539321066677	BACH1-IT1
ENSG00000278318.4	-0.15534342748505497	ZNF229
ENSG00000173908.8	-0.15350030094839265	KRT28
ENSG00000230453.9	0.15025829648760392	ANKRD18B
ENSG00000202517.1	-0.15020637771806705	Gene symbol not found
ENSG00000172426.15	-0.14782985792963013	RSPH9
ENSG00000254294.1	-0.14594902326180978	IMPDH1P6
ENSG00000214121.4	-0.14435689148962602	PRDX1P1
ENSG00000255794.7	0.14333581067667261	RMST
ENSG00000230931.2	-0.14294594974522876	GXYLT1P1
ENSG00000283377.1	-0.1422641250068972	Gene symbol not found
ENSG00000168418.7	0.14195837187695348	KCNG4
ENSG00000196862.9	-0.14085741150618503	RGPD4
ENSG00000259742.1	-0.14047888780677986	Gene symbol not found
ENSG00000276556.1	-0.13978401094088727	Gene symbol not found
ENSG00000248646.1	-0.13960159986374	
ENSG00000207010.1	-0.1381310534162828	RNU6-318P
ENSG00000258550.1	-0.13871758945175075	OR7E106P
ENSG00000225075.1	0.1384523680620071	Gene symbol not found
ENSG00000273687.1	0.13787608869792767	Gene symbol not found
ENSG00000277697.1	-0.1378305543899487	
ENSG00000253642.5	0.13664918624757008	Gene symbol not found
ENSG00000274904.1	-0.13659230747311965	Gene symbol not found
ENSG00000244308.2	-0.13575988074186432	RN7SL762P
ENSG00000162722.8	-0.13493144506338184	TRIM58
ENSG00000236380.5	-0.132153125490186	VENTXP7
ENSG00000172680.1	-0.13183777377931016	MOS
ENSG00000164399.4	-0.13074414551295524	IL3
ENSG00000224566.2	-0.12901365537847861	CIAO2AP2
ENSG00000178343.4	0.12872456785404365	SHISA3
ENSG00000255175.5	-0.12680321829789695	LINC02759
ENSG00000214415.3	-0.12566470638905616	GNAT3
