	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.1529556055505847	0.5570008639029322			0.5834472438976512	0.42599069626068176	0.39511093078611675	0.7526232429156996	0.3604034582642458	0.3786955850039199	0.8386334197950195	PTCHD4
ENSG00000131080.14				0.2519580036008008		0.608872896864381	0.3098389630080435	0.6840582663399893		0.38874403229528154	0.26858626133676283	0.4030371970636978	EDA2R
ENSG00000244681.1		0.14325057283066286				0.5611919867180636		0.4461331437497912		0.37142642442516555	0.25381813103424644		MTHFD2P1
ENSG00000048540.14		0.12705928600106833	0.6123989594822961			0.38419721575276455	1.0822135661232164		1.0421312227194979				LMO3
ENSG00000228526.6				0.15825984857201245		0.3155156789009089	0.40851564976230487				0.39899565596420716		MIR34AHG
ENSG00000178163.7							-0.6905628391880944	-0.7340381140322673		-0.3808060207397778		-2.426356872109827	ZNF518B
ENSG00000196109.6							0.29954998888457735	0.30085481020472216		0.3994499912984311	0.17771127939307702		ZNF676
ENSG00000081803.15		0.20779934904073058	0.36817194478551707								0.1742836034732271		CADPS2
ENSG00000278530.4		0.10926648000215207					0.4447004857868964				0.16401000922824469		CHMP1B2P
ENSG00000255836.1				-0.2022964099454434			-0.5035950472179463					-0.7597496020969137	Gene symbol not found
ENSG00000163071.10				0.16570033031375062		0.2919336844024523						0.6199601276381532	SPATA18
ENSG00000250337.5						0.5314556107732242				0.19293391173804858	0.2634417949739356		PURPL
ENSG00000112319.17							1.5120130658424624			0.22698516635680815	0.4119443636847156		EYA4
ENSG00000172667.10							0.31008875426975313		0.4059004170313094	0.20815111538584294			ZMAT3
ENSG00000163564.14							0.2959410156072436		0.38388385330266483	0.3214681565966422			PYHIN1
ENSG00000147889.17								0.5997351425906985			0.29761953242172645	0.9131658531557421	CDKN2A
