	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4330536070309776	ZNF518B
ENSG00000104722.13	-1.6960229675924752	NEFM
ENSG00000185010.13	1.5815258276947977	F8
ENSG00000260015.1	1.4189744253760896	Gene symbol not found
ENSG00000166262.15	-1.1755632486478587	FAM227B
ENSG00000159212.12	-1.0763522236696745	CLIC6
ENSG00000206195.10	0.9912354149393301	DUXAP8
ENSG00000148082.9	0.9810855289021202	SHC3
ENSG00000224945.1	0.9763669755409745	Gene symbol not found
ENSG00000255408.3	0.946554092393188	PCDHA3
ENSG00000258628.1	0.9270274815970572	RHPN2P1
ENSG00000106341.10	0.9074240101406522	PPP1R17
ENSG00000147889.17	0.9055111460580124	CDKN2A
ENSG00000119973.5	0.8945233402990459	PRLHR
ENSG00000244694.7	0.8608440123187047	PTCHD4
ENSG00000204176.13	-0.8588530636656666	SYT15
ENSG00000255836.1	-0.7798722733204031	Gene symbol not found
ENSG00000183770.5	0.7709920867425891	FOXL2
ENSG00000229020.4	0.7182885267033529	AKR7A2P1
ENSG00000265366.6	0.7031931799798934	GLUD1P2
ENSG00000088882.7	-0.675772379898862	CPXM1
ENSG00000143355.15	0.6654740894873198	LHX9
ENSG00000163071.10	0.6324982890721389	SPATA18
ENSG00000147027.3	0.6010511725838801	TMEM47
ENSG00000213225.7	-0.571545137390013	NOC2LP1
ENSG00000102796.10	-0.5708869842611681	DHRS12
ENSG00000281205.1	-0.569068734485123	
ENSG00000100867.14	0.4665778565425262	DHRS2
ENSG00000214754.3	-0.45960696841345916	SRSF8CP
ENSG00000198804.2	-0.44442471061202876	MT-CO1
ENSG00000131080.14	0.4094341841994179	EDA2R
ENSG00000240401.8	0.39541920241555867	
ENSG00000250218.1	0.36713093510838923	ALDH1L1-AS1
ENSG00000235268.2	-0.34663432802225613	KDM4E
ENSG00000236833.1	0.33259622464420185	Gene symbol not found
ENSG00000275560.1	0.3029875224725413	
ENSG00000204969.6	0.292790649950356	PCDHA2
ENSG00000272674.3	0.2868775108762006	PCDHB16
ENSG00000255158.1	-0.2708481582058818	Gene symbol not found
ENSG00000173947.13	-0.2612600310876737	CIMAP3
ENSG00000200769.1	-0.2374578945338958	Y_RNA
ENSG00000188011.5	-0.22214140759308268	RTP5
ENSG00000054598.6	0.20199827932697215	FOXC1
ENSG00000184378.2	-0.19962427298235955	ACTRT3
ENSG00000100196.10	-0.190282123437751	KDELR3
ENSG00000167281.18	-0.15492786618614213	RBFOX3
ENSG00000124203.6	0.15222445188290892	ZNF831
ENSG00000272872.1	0.09774846859831955	
ENSG00000074410.13	-0.038114851084398466	CA12
