	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.28538383100032977	VENTX
ENSG00000131080.14	0.2527127305667014	EDA2R
ENSG00000252581.1	0.2471551512102469	RNU6-1098P
ENSG00000208005.1	-0.21299187211636939	MIR503
ENSG00000267544.1	-0.2096282182921674	HIKESHIP2
ENSG00000255836.1	-0.19792966300858544	Gene symbol not found
ENSG00000233429.9	0.19321493898641318	HOTAIRM1
ENSG00000197376.2	0.19003297189184146	Gene symbol not found
ENSG00000088836.12	0.18006116271240247	SLC4A11
ENSG00000259124.1	-0.17854789908359645	Gene symbol not found
ENSG00000187013.4	0.1756420224149634	LINC02875
ENSG00000259792.1	0.1698966860701811	Gene symbol not found
ENSG00000163071.10	0.1696488774460168	SPATA18
ENSG00000207186.1	0.16958916682148725	RNA5SP122
ENSG00000280710.2	-0.16942334230463388	
ENSG00000267773.1	-0.16929995648512466	Gene symbol not found
ENSG00000228526.6	0.1597176266613194	MIR34AHG
ENSG00000267799.1	-0.15921421688006865	MAN1A2P1
ENSG00000248476.1	-0.15731018015101886	BACH1-IT1
ENSG00000278318.4	-0.154734317992138	ZNF229
ENSG00000202517.1	-0.15445136744423815	Gene symbol not found
ENSG00000173908.8	-0.15371569926395537	KRT28
ENSG00000230453.9	0.152297968906007	ANKRD18B
ENSG00000172426.15	-0.14844148341752259	RSPH9
ENSG00000274904.1	-0.14515462186752723	Gene symbol not found
ENSG00000248646.1	-0.14450835296819714	
ENSG00000214121.4	-0.14394952509524844	PRDX1P1
ENSG00000168418.7	0.1437577744607586	KCNG4
ENSG00000254294.1	-0.14184787217861572	IMPDH1P6
ENSG00000255794.7	0.14166697473709877	RMST
ENSG00000225075.1	0.14154903439154187	Gene symbol not found
ENSG00000283377.1	-0.14103690544054498	Gene symbol not found
ENSG00000230931.2	-0.1401040763022112	GXYLT1P1
ENSG00000259742.1	-0.1400567942613834	Gene symbol not found
ENSG00000162722.8	-0.13967156360687988	TRIM58
ENSG00000277697.1	-0.1391371522486965	
ENSG00000258550.1	-0.13813362576626875	OR7E106P
ENSG00000196862.9	-0.1372392656495463	RGPD4
ENSG00000244308.2	-0.13721481481176892	RN7SL762P
ENSG00000276556.1	-0.13697711027137605	Gene symbol not found
ENSG00000273687.1	0.13662936275837007	Gene symbol not found
ENSG00000236380.5	-0.13545695587423517	VENTXP7
ENSG00000253642.5	0.13250913302812792	Gene symbol not found
ENSG00000224566.2	-0.1321174764173444	CIAO2AP2
ENSG00000172680.1	-0.13088752514631927	MOS
ENSG00000178343.4	0.12940792374801016	SHISA3
ENSG00000207010.1	-0.128353674199595	RNU6-318P
ENSG00000164399.4	-0.12864265666341837	IL3
ENSG00000214415.3	-0.1256674485408975	GNAT3
ENSG00000214491.8	0.12351832136692789	SEC14L6
