	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.218671877822517	LHFPL4
ENSG00000070019.4	1.1103075641299298	GUCY2C
ENSG00000048540.14	1.044478602810981	LMO3
ENSG00000154162.14	-1.0079911794193523	CDH12
ENSG00000255442.1	0.8788965639181725	Gene symbol not found
ENSG00000104044.15	-0.8407632982869002	OCA2
ENSG00000278318.4	-0.8042075402359227	ZNF229
ENSG00000124253.10	-0.7666629512310008	PCK1
ENSG00000244694.7	0.751147519986799	PTCHD4
ENSG00000224810.1	-0.7429067698895275	Gene symbol not found
ENSG00000181690.7	-0.7088097796971111	PLAG1
ENSG00000246627.6	0.6972896619219335	
ENSG00000226057.6	0.6178762062333353	PHF2P2
ENSG00000114378.16	0.5908884075444641	HYAL1
ENSG00000267733.5	0.5810663731567216	Gene symbol not found
ENSG00000180155.19	-0.576600132166608	LYNX1
ENSG00000176998.4	0.5711885209369957	HCG4
ENSG00000007372.21	0.5624083426270838	PAX6
ENSG00000185008.17	-0.557489583084689	ROBO2
ENSG00000229375.1	0.5441840783408465	USP24P1
ENSG00000271447.5	0.5424488840724837	MMP28
ENSG00000207296.1	0.5411563720364333	RNU6-140P
ENSG00000112333.11	0.5218821550921294	NR2E1
ENSG00000176153.11	-0.5212991932198949	GPX2
ENSG00000261104.1	-0.505453122731798	Gene symbol not found
ENSG00000267508.5	-0.5029873793848364	ZNF285
ENSG00000110092.3	0.49900965642326095	CCND1
ENSG00000100321.14	-0.49244871879662916	SYNGR1
ENSG00000072818.11	0.45622892200765747	ACAP1
ENSG00000179151.11	-0.44725918677335197	EDC3
ENSG00000254043.1	-0.4463506138684528	Gene symbol not found
ENSG00000105520.10	-0.4397094768312335	PLPPR2
ENSG00000136378.14	0.4348923973424015	ADAMTS7
ENSG00000235961.5	-0.43478753517155305	PNMA6A
ENSG00000114405.10	-0.4209975457201403	CEP15
ENSG00000164099.3	-0.41917493904491904	PRSS12
ENSG00000235903.7	-0.41104083981850503	CPB2-AS1
ENSG00000172667.10	0.40977926735557413	ZMAT3
ENSG00000163564.14	0.3931020224090337	PYHIN1
ENSG00000143320.8	0.392031043878016	CRABP2
ENSG00000112852.6	0.390802530618664	PCDHB2
ENSG00000235933.1	0.3897387179074984	LINC01779
ENSG00000146521.9	0.38718254751982184	
ENSG00000278937.1	-0.3863837681116117	
ENSG00000162722.8	0.3773169426003641	TRIM58
ENSG00000158023.9	0.37546470901661627	CFAP251
ENSG00000128311.13	0.3683565383119707	TST
ENSG00000184990.12	-0.36470016317103343	SIVA1
ENSG00000230587.1	0.3571190402081077	LINC02580
