	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.28627583394660666	VENTX
ENSG00000131080.14	0.25130829173336955	EDA2R
ENSG00000252581.1	0.24912221071837254	RNU6-1098P
ENSG00000208005.1	-0.22033619909000055	MIR503
ENSG00000267544.1	-0.20512454481569262	HIKESHIP2
ENSG00000255836.1	-0.1940318783832873	Gene symbol not found
ENSG00000197376.2	0.18979188178508674	Gene symbol not found
ENSG00000233429.9	0.1894360686668105	HOTAIRM1
ENSG00000259124.1	-0.17774996597611054	Gene symbol not found
ENSG00000088836.12	0.1770753747728091	SLC4A11
ENSG00000207186.1	0.17428160640964985	RNA5SP122
ENSG00000187013.4	0.17327993905410025	LINC02875
ENSG00000267773.1	-0.17002769307326437	Gene symbol not found
ENSG00000163071.10	0.16799910621284067	SPATA18
ENSG00000259792.1	0.16738881039787035	Gene symbol not found
ENSG00000280710.2	-0.16698977898407125	
ENSG00000267799.1	-0.16618067159956518	MAN1A2P1
ENSG00000228526.6	0.1602096652666674	MIR34AHG
ENSG00000278318.4	-0.1587930866105622	ZNF229
ENSG00000248476.1	-0.15587620323413637	BACH1-IT1
ENSG00000230453.9	0.15146490502420284	ANKRD18B
ENSG00000202517.1	-0.14882866665193287	Gene symbol not found
ENSG00000254294.1	-0.14872515615155846	IMPDH1P6
ENSG00000173908.8	-0.14836466959185898	KRT28
ENSG00000259742.1	-0.14619901465019117	Gene symbol not found
ENSG00000274904.1	-0.1456568621694969	Gene symbol not found
ENSG00000172426.15	-0.14544188230089483	RSPH9
ENSG00000283377.1	-0.14370333316009656	Gene symbol not found
ENSG00000258550.1	-0.14215088578934457	OR7E106P
ENSG00000248646.1	-0.14197438775154178	
ENSG00000230931.2	-0.14099453630760347	GXYLT1P1
ENSG00000168418.7	0.14079555239078517	KCNG4
ENSG00000214121.4	-0.13961502816547927	PRDX1P1
ENSG00000255794.7	0.1392994898988388	RMST
ENSG00000276556.1	-0.13878897892187972	Gene symbol not found
ENSG00000236380.5	-0.13827185492977112	VENTXP7
ENSG00000196862.9	-0.13826517401188812	RGPD4
ENSG00000253642.5	0.13701265078760239	Gene symbol not found
ENSG00000273687.1	0.13683330932773077	Gene symbol not found
ENSG00000225075.1	0.13526104521156534	Gene symbol not found
ENSG00000277697.1	-0.1344520880775608	
ENSG00000162722.8	-0.13375124439611874	TRIM58
ENSG00000164399.4	-0.13340450693790198	IL3
ENSG00000120289.11	-0.12972668247941058	MAGEB4
ENSG00000224566.2	-0.12970917304693844	CIAO2AP2
ENSG00000207010.1	-0.12917623825008007	RNU6-318P
ENSG00000178343.4	0.12768776328987227	SHISA3
ENSG00000214415.3	-0.12718729703188802	GNAT3
ENSG00000244308.2	-0.12692774111575666	RN7SL762P
ENSG00000172680.1	-0.12632335535375383	MOS
