	Coef_lung	Gene_name
ENSG00000178163.7	-0.7286077887671921	ZNF518B
ENSG00000131080.14	0.6905951733293375	EDA2R
ENSG00000145242.13	0.6720651335020188	EPHA5
ENSG00000147889.17	0.5963570490104684	CDKN2A
ENSG00000100285.9	-0.511437734604297	NEFH
ENSG00000244681.1	0.45526319391284	MTHFD2P1
ENSG00000100362.12	-0.4494137908307229	PVALB
ENSG00000130876.11	-0.42163426680733923	SLC7A10
ENSG00000263280.1	-0.4030233695755851	Gene symbol not found
ENSG00000022556.15	-0.3989116640897883	NLRP2
ENSG00000244694.7	0.3926498179403585	PTCHD4
ENSG00000160870.12	0.39142335300192516	CYP3A7
ENSG00000102854.15	-0.38943577812156505	MSLN
ENSG00000185090.14	0.38910208332729146	MANEAL
ENSG00000198542.13	0.3871545631477801	ITGBL1
ENSG00000189127.7	-0.38294176702238697	ANKRD34B
ENSG00000187730.8	0.3698725913799636	GABRD
ENSG00000186642.15	-0.3649479983931716	PDE2A
ENSG00000230267.7	-0.3619097639660648	HERC2P4
ENSG00000185088.13	0.344983798180339	RPS27L
ENSG00000244593.1	-0.34090136151582207	Gene symbol not found
ENSG00000102452.15	0.3383168946353067	NALCN
ENSG00000180543.4	-0.33413440347299117	TSPYL5
ENSG00000257194.2	0.3323891242571743	
ENSG00000257550.1	-0.3320562947640749	Gene symbol not found
ENSG00000254198.1	-0.3287245169516063	Gene symbol not found
ENSG00000143839.14	-0.32239777222746313	REN
ENSG00000112852.6	0.32122984751077743	PCDHB2
ENSG00000170549.3	-0.3207737439666349	IRX1
ENSG00000272070.1	0.31579528747655616	
ENSG00000080224.17	0.3125332299100187	EPHA6
ENSG00000141576.14	0.3042583110697333	RNF157
ENSG00000273203.1	0.3001452734449114	
ENSG00000196109.6	0.2993009800272358	ZNF676
ENSG00000267733.5	0.2954116811343506	Gene symbol not found
ENSG00000226822.2	-0.2897333868575245	
ENSG00000267643.1	0.284194088337086	
ENSG00000101255.10	0.28315627454456593	TRIB3
ENSG00000277382.1	0.28287996542500654	Gene symbol not found
ENSG00000174672.15	0.2752988140272366	BRSK2
ENSG00000113319.12	0.2739816569890657	RASGRF2
ENSG00000162039.14	-0.2707431930507931	MEIOB
ENSG00000106868.16	-0.26993153716117213	SUSD1
ENSG00000283913.1	-0.2682237618487832	Gene symbol not found
ENSG00000229915.1	-0.26508842896267804	Gene symbol not found
ENSG00000081818.3	0.2616020907290822	PCDHB4
ENSG00000259134.5	0.26047322591725053	LINC00924
ENSG00000235821.1	0.26021311189989094	IFITM4P
ENSG00000283145.1	-0.2593109345499634	Gene symbol not found
ENSG00000242173.8	0.2591086608946016	ARHGDIG
