	Coef_liver	Gene_name
ENSG00000242573.1	-0.37400908875669747	ACTR3P3
ENSG00000219702.1	-0.31431267385555106	Gene symbol not found
ENSG00000114631.10	-0.31417232378237164	PODXL2
ENSG00000261570.1	-0.2714744812191813	AGK-DT
ENSG00000222426.1	-0.27094452686207715	RNU2-50P
ENSG00000271209.1	0.2504801610372968	BRDTP1
ENSG00000254345.1	-0.24968749762683	IGKV2D-23
ENSG00000259326.1	0.24906441713318286	Gene symbol not found
ENSG00000256436.1	0.24522754892088994	TAS2R31
ENSG00000283205.1	-0.24478722142490447	Gene symbol not found
ENSG00000253604.1	-0.23709179722772875	Gene symbol not found
ENSG00000226703.1	-0.22636593007699785	NPM1P4
ENSG00000235118.7	-0.22444868008035687	FAM237A
ENSG00000283288.1	-0.22039481355499424	SMIM33
ENSG00000228262.8	0.21849372152574054	LINC01320
ENSG00000260877.2	0.21750163987025964	Gene symbol not found
ENSG00000237631.2	0.20765231328877565	PARK7P2
ENSG00000248647.2	0.20313731496578058	Gene symbol not found
ENSG00000264685.1	-0.20146291070550826	PRPF19P1
ENSG00000238835.1	-0.20011751358837152	SCARNA18
ENSG00000231066.3	-0.2000909304292603	NPM1P9
ENSG00000283098.1	0.19911543734791656	Gene symbol not found
ENSG00000227240.1	0.1968549127992976	Gene symbol not found
ENSG00000250480.3	-0.19601568623756604	RLIG1P1
ENSG00000103200.6	-0.1918952921396942	Gene symbol not found
ENSG00000233057.1	0.19068219216008397	EEF1A1P14
ENSG00000259845.1	-0.18874957912570275	HERC2P10
ENSG00000159247.13	0.18739477565941878	TUBBP5
ENSG00000273989.1	0.1868242926243176	Gene symbol not found
ENSG00000231849.1	-0.1851546538609119	UBE2V2P4
ENSG00000180855.15	0.18379650752470988	ZNF443
ENSG00000239958.3	-0.18356470707732264	RN7SL51P
ENSG00000255147.1	-0.1819217840508238	EVA1CP4
ENSG00000108417.3	-0.18058369987023515	KRT37
ENSG00000236062.1	0.17855633367519816	GSTM5P1
ENSG00000205220.11	-0.17736589181828374	PSMB10
ENSG00000214185.3	-0.1759654182749898	XPOTP1
ENSG00000225370.1	-0.17523549307471778	Gene symbol not found
ENSG00000152977.9	0.17337077246960678	ZIC1
ENSG00000278054.1	-0.17237417956763904	Gene symbol not found
ENSG00000227814.3	0.1718017735912477	MRPS17P9
ENSG00000254106.1	-0.17063698808756064	LINC01848
ENSG00000284242.1	-0.16950555532015663	Gene symbol not found
ENSG00000102053.12	0.16891043338959794	ZC3H12B
ENSG00000272275.1	-0.1688277309155797	Gene symbol not found
ENSG00000171747.8	0.1688123415257946	LGALS4
ENSG00000277474.1	-0.16492107794835978	MIR6894
ENSG00000150873.11	-0.16441894719547506	C2orf50
ENSG00000179873.14	0.16409629389477873	NLRP11
ENSG00000188738.14	0.16233309734488854	FSIP2
