	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11733238946753641	
ENSG00000279039.1	-0.09221489133873931	
ENSG00000052344.15	0.09082685508238593	PRSS8
ENSG00000175718.9	0.09001622844860736	RBMXL3
ENSG00000117594.9	0.08799158808432687	HSD11B1
ENSG00000151718.15	-0.08609202438698724	WWC2
ENSG00000089225.19	0.08411945645590461	TBX5
ENSG00000266227.1	-0.07841745146180064	NPM1P2
ENSG00000227432.1	0.07826257969638652	ASIC4-AS1
ENSG00000187867.8	0.07799152418522275	PALM3
ENSG00000271178.1	-0.07686738520391498	IGHV3OR16-13
ENSG00000253293.4	-0.07531073770797916	HOXA10
ENSG00000145888.10	0.07496137821484207	GLRA1
ENSG00000213435.3	-0.07419232827509029	ATP6V0CP3
ENSG00000236968.1	-0.07256245723954059	Gene symbol not found
ENSG00000235070.3	-0.07246363623285607	Gene symbol not found
ENSG00000131095.12	0.07235248956252571	GFAP
ENSG00000100302.6	0.07217777742525458	RASD2
ENSG00000249005.3	-0.07183946176553498	FAM90A4P
ENSG00000221977.1	-0.07160274315831106	OR4E2
ENSG00000263505.1	-0.0710466932131076	SLC25A3P3
ENSG00000248229.1	-0.07046037527203891	Gene symbol not found
ENSG00000138759.18	-0.07040616163959396	FRAS1
ENSG00000144119.3	0.07033984540072791	C1QL2
ENSG00000070159.13	-0.06965770049488904	PTPN3
ENSG00000181656.6	-0.06961568382583919	GPR88
ENSG00000181195.10	0.06930000855230505	PENK
ENSG00000213698.2	-0.06843721099139612	CAPZA1P3
ENSG00000228467.2	-0.06826198413301905	Gene symbol not found
ENSG00000276945.1	-0.06773512143137553	Gene symbol not found
ENSG00000257737.1	-0.06739045112001231	Gene symbol not found
ENSG00000248211.1	-0.06678486946859949	TRPC7-AS1
ENSG00000145358.6	0.0667130076664538	DDIT4L
ENSG00000197919.5	0.06628651247905089	IFNA1
ENSG00000263862.1	-0.06457367605883967	LINC01543
ENSG00000241318.3	-0.06444556202896407	WDR82P2
ENSG00000261761.3	-0.06431792130859033	LINC02616
ENSG00000072182.12	0.06430038209623398	ASIC4
ENSG00000266184.1	-0.06338591888899409	Gene symbol not found
ENSG00000118495.18	-0.0627969801261168	PLAGL1
ENSG00000198838.13	0.06174952963653394	RYR3
ENSG00000143365.17	0.06159258634206007	RORC
ENSG00000272572.1	-0.06132026991955967	Gene symbol not found
ENSG00000231464.1	-0.06127757581180654	PPP4R2P3
ENSG00000271671.1	-0.061018979182381756	Gene symbol not found
ENSG00000249061.1	-0.06048106034824574	Gene symbol not found
ENSG00000267623.3	-0.05997939802064306	Gene symbol not found
ENSG00000120337.8	-0.05995313807878641	TNFSF18
ENSG00000240478.1	-0.05985432895403714	Gene symbol not found
ENSG00000238166.2	-0.05973117277650771	Gene symbol not found
